customer_id,age,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,join_date,default_flag
CUST00031,44.0,631423.34,93489.56,Home,530.0,50,51.94,2018-05-16,1
CUST00032,23.0,1094728.5,47033.98,Education,514.0,46,118.54,2025-02-20,1
CUST00033,33.0,313999.51,92515.13,Business,659.0,43,19.81,2020-10-12,0
CUST00034,31.0,493564.92,63128.11,Education,695.0,40,11.14,2023-04-09,1
CUST00035,54.0,232194.9,124141.56,Business,685.0,40,4.25,2021-10-07,0
CUST00036,32.0,374175.6,44116.42,Education,698.0,46,22.83,2025-06-20,1
CUST00037,46.0,,99590.4,Business,649.0,49,53.28,2020-01-20,1
CUST00038,31.0,558061.79,139169.7,Other,628.0,55,90.6,2024-12-01,0
CUST00039,33.0,735650.85,170170.7,Car,564.0,51,29.94,2025-04-28,0
CUST00040,35.0,726165.58,62411.16,Home,615.0,42,14.81,2025-08-03,1
CUST00041,52.0,290277.85,99772.77,Home,544.0,42,28.43,2022-12-30,1
CUST00042,18.0,728857.82,110248.06,Education,582.0,49,29.66,2026-04-07,1
CUST00043,24.0,432768.16,249765.0,Education,657.0,49,23.18,2023-07-25,0
CUST00044,18.0,376134.3,40586.95,Home,641.0,46,52.5,2018-08-01,1
CUST00045,26.0,310439.48,57144.5,Business,895.0,45,69.15,2016-10-21,0
CUST00046,29.0,334379.58,531085.07,Other,542.0,50,10.51,2017-05-30,0
CUST00047,20.0,1057223.75,83796.09,Home,640.0,43,37.95,2021-08-05,0
CUST00048,30.0,515919.17,31742.24,Home,536.0,39,23.94,2016-11-24,1
CUST00049,18.0,482774.97,69596.52,Home,619.0,47,30.75,2017-09-24,1
CUST00050,27.0,388044.99,18744.88,Car,622.0,56,25.39,2022-03-21,1
CUST00051,,1503023.5,114068.27,Business,718.0,53,30.49,2018-10-28,1
CUST00052,42.0,849586.67,160471.37,Education,614.0,46,10.35,2022-10-29,1
CUST00053,40.0,308497.48,57125.31,Home,635.0,52,39.82,2026-06-18,1
CUST00054,27.0,385845.56,74426.37,Car,616.0,44,23.66,2016-01-04,1
CUST00055,21.0,397471.19,171818.25,Home,538.0,41,17.71,2022-05-15,1
CUST00056,25.0,475887.13,34539.91,Car,598.0,43,2.67,2024-06-08,0
CUST00057,38.0,311572.4,44669.99,Car,619.0,45,43.94,2016-08-11,0
CUST00058,48.0,5888510.88,86088.48,Education,,36,20.63,2024-01-01,1
CUST00059,48.0,914418.91,62855.84,Education,695.0,37,67.43,2020-10-30,1
CUST00060,45.0,229391.62,82758.32,Business,631.0,50,6.76,2022-03-23,0
CUST00061,30.0,251683.25,46246.9,Home,630.0,44,10.5,2015-08-05,0
CUST00062,38.0,347465.52,112261.71,Business,512.0,48,19.43,2020-01-03,1
CUST00063,34.0,355614.38,90260.95,Home,693.0,49,10.69,2019-03-21,0
CUST00064,36.0,1201682.17,137243.82,Car,594.0,45,81.76,2016-10-07,1
CUST00065,60.0,730040.0,111328.4,Business,710.0,44,75.48,2023-10-08,0
CUST00066,19.0,709390.32,111749.39,Business,755.0,40,25.33,2020-10-23,0
CUST00067,35.0,,41448.86,Home,635.0,44,33.35,2025-02-02,1
CUST00068,51.0,383403.52,132661.35,Car,568.0,45,36.49,2016-10-30,1
CUST00069,22.0,214089.04,80941.35,Business,649.0,42,17.69,2023-05-26,0
CUST00070,31.0,654004.89,89325.39,Other,678.0,49,10.67,2021-12-14,1
CUST00071,32.0,565534.91,185156.86,Education,625.0,45,130.0,2022-06-26,1
CUST00072,36.0,,64108.91,Home,605.0,45,29.79,2018-07-25,0
CUST00073,20.0,398150.42,222061.71,Car,,58,20.84,2022-12-10,1
CUST00074,45.0,412136.72,234845.98,Home,690.0,51,26.81,2017-11-04,0
CUST00075,45.0,481673.98,155076.01,Home,622.0,57,29.55,2023-10-05,1
CUST00076,44.0,691037.1,54809.98,Education,518.0,34,88.17,2020-01-26,1
CUST00077,28.0,212116.77,26588.23,Business,687.0,53,37.73,2020-07-06,1
CUST00078,39.0,639235.41,188584.4,Home,589.0,51,18.64,2021-09-03,1
CUST00079,28.0,437902.79,105538.49,Business,667.0,43,47.77,2015-12-20,1
CUST00080,34.0,260584.21,564508.32,Business,662.0,45,34.03,2019-03-23,1
CUST00081,62.0,156013.39,199613.33,Business,499.0,43,13.08,2017-05-03,1
CUST00082,39.0,413231.46,58868.69,Home,656.0,53,12.94,2026-01-28,1
CUST00083,25.0,912420.73,76535.26,Car,691.0,49,10.81,2019-11-06,0
CUST00084,40.0,1022071.83,135257.31,Home,701.0,44,13.92,2015-01-25,0
CUST00085,23.0,528441.88,50606.65,Home,659.0,43,13.59,2015-04-20,0
CUST00086,25.0,1179973.85,92439.67,Car,492.0,42,33.68,2025-06-29,1
CUST00087,27.0,433015.78,189753.72,Car,752.0,55,9.22,2016-10-20,1
CUST00088,33.0,712583.07,112046.19,Home,683.0,53,8.75,2015-01-03,1
CUST00089,48.0,,208658.83,Home,554.0,50,44.68,2017-06-09,0
CUST00090,44.0,342046.02,194884.32,Other,587.0,40,30.64,2017-06-28,0
CUST00091,44.0,315289.15,99175.17,Business,668.0,45,22.07,2015-12-02,0
CUST00092,26.0,157902.89,24293.28,Car,,48,37.98,2026-06-14,1
CUST00093,32.0,842009.12,50844.98,Other,611.0,46,21.14,2015-09-06,0
CUST00094,41.0,320995.95,1554533.7,Home,200.0,42,13.72,2023-05-15,1
CUST00095,31.0,296345.3,38942.8,Car,507.0,48,46.79,2024-08-14,1
CUST00096,35.0,245245.29,81144.31,Business,567.0,40,47.57,2022-05-29,1
CUST00097,43.0,399440.57,120944.66,Car,485.0,56,20.33,2016-07-09,1
CUST00098,34.0,1068478.42,1761156.22,Home,578.0,43,32.82,2023-05-07,1
CUST00099,40.0,1260336.65,69911.69,Car,771.0,50,3.19,2018-10-16,0
CUST00100,56.0,192830.45,67097.86,Education,815.0,45,30.48,2019-09-11,0
CUST00101,36.0,370561.98,95657.8,Education,669.0,53,68.08,2017-11-21,1
CUST00102,51.0,263766.92,121850.21,Car,599.0,35,20.47,2024-01-06,0
CUST00103,44.0,725175.43,89989.83,Car,632.0,46,69.21,2021-08-31,0
CUST00104,22.0,,185268.43,Home,688.0,46,47.68,2016-10-12,1
CUST00105,26.0,321809.6,61115.07,Education,525.0,53,15.79,2019-09-07,1
CUST00106,29.0,458761.86,106095.67,Home,604.0,47,24.19,2024-02-15,1
CUST00107,29.0,348464.17,128943.25,Business,765.0,39,19.15,2025-10-11,0
CUST00108,37.0,991647.57,77641.73,Business,566.0,46,2.9,2025-10-19,1
CUST00109,45.0,581566.01,163378.68,Car,,44,16.41,2016-07-20,1
CUST00110,52.0,618412.95,107944.78,Business,651.0,45,16.6,2024-11-09,0
CUST00111,,116604.28,158467.92,Home,673.0,46,13.67,2021-07-05,1
CUST00112,33.0,427883.25,110908.68,Car,600.0,57,16.01,2023-07-03,0
CUST00113,18.0,1253694.66,123728.23,Car,656.0,41,19.46,2019-06-08,1
CUST00114,,858605.24,67546.06,Car,699.0,50,34.02,2022-06-27,0
CUST00115,38.0,175686.28,67611.74,Business,807.0,49,14.63,2017-12-19,0
CUST00116,40.0,2671895.83,205795.43,Other,640.0,55,58.59,2020-12-27,1
CUST00117,61.0,242617.22,144539.23,Car,647.0,38,10.7,2017-08-05,1
CUST00118,52.0,1040852.64,53434.98,Car,772.0,58,51.91,2019-07-18,1
CUST00119,47.0,499887.89,647902.42,Education,606.0,46,30.17,2019-09-09,1
CUST00120,27.0,301372.47,23759.42,Home,544.0,54,8.13,2024-12-13,1
CUST00121,32.0,450034.25,69956.99,Home,670.0,54,19.06,2022-03-22,1
CUST00122,37.0,120128.49,175714.64,Other,736.0,30,70.98,2022-06-11,0
CUST00123,29.0,257176.87,609338.66,Business,679.0,51,10.88,2018-04-06,1
CUST00124,44.0,450548.89,105952.65,Other,642.0,34,72.33,2019-12-31,1
CUST00125,42.0,675249.6,16158.01,Home,534.0,41,34.72,2020-06-07,1
CUST00126,26.0,,78014.33,Home,645.0,54,30.55,2024-01-08,1
CUST00127,51.0,365646.52,120929.54,Car,749.0,50,33.27,2017-02-17,0
CUST00128,39.0,732957.41,130505.93,Other,551.0,44,18.67,2015-08-16,0
CUST00129,19.0,214116.03,1602930.53,Home,630.0,51,11.32,2020-10-21,1
CUST00130,37.0,496129.08,87015.83,Home,619.0,57,25.03,2024-05-06,1
CUST00131,41.0,457250.77,89375.91,Home,594.0,51,31.38,2023-06-07,1
CUST00132,49.0,1042560.39,44388.23,Business,670.0,38,35.88,2024-04-26,0
CUST00133,34.0,394325.47,87315.83,Business,685.0,59,34.87,2019-07-10,0
CUST00134,47.0,406037.05,46307.3,Business,685.0,48,41.46,2017-08-17,0
CUST00135,40.0,678391.53,32574.27,Home,572.0,31,91.2,2022-08-02,1
CUST00136,24.0,227937.25,51477.1,Business,518.0,52,29.44,2015-06-08,1
CUST00137,22.0,396154.04,244070.15,Car,671.0,41,56.53,2025-04-17,0
CUST00138,50.0,352264.47,83923.7,Home,610.0,47,36.83,2023-03-16,0
CUST00139,51.0,412728.01,112637.1,Home,797.0,50,97.65,2020-10-16,0
CUST00140,42.0,676172.31,72540.64,Education,801.0,49,26.36,2017-04-19,0
CUST00141,54.0,583663.99,33714.03,Car,809.0,43,24.21,2017-11-16,1
CUST00142,50.0,304266.38,173107.47,Other,575.0,46,54.12,2026-06-13,1
CUST00143,46.0,473709.53,26814.05,Car,696.0,38,54.17,2015-03-03,0
CUST00144,28.0,932123.7,70765.32,Car,720.0,49,19.93,2015-02-08,0
CUST00145,57.0,291943.96,95533.39,Business,711.0,52,35.88,2018-12-29,0
CUST00146,44.0,475719.37,113356.59,Business,622.0,48,41.76,2017-08-22,1
CUST00147,34.0,,63838.92,Home,752.0,56,40.12,2022-10-11,0
CUST00148,31.0,428693.5,32768.5,Education,650.0,43,33.31,2015-06-26,1
CUST00149,41.0,195765.19,61043.62,Home,,49,4.54,2024-01-11,1
CUST00150,20.0,895718.46,62990.88,Car,527.0,48,40.53,2023-12-30,1
CUST00151,46.0,300386.14,62077.81,Business,702.0,44,41.86,2017-08-21,1
CUST00152,28.0,738987.28,176669.34,Education,629.0,50,34.29,2021-08-26,1
CUST00153,42.0,324263.49,47659.55,Car,687.0,46,18.21,2022-09-20,0
CUST00154,32.0,323594.89,118253.7,Home,669.0,46,66.27,2024-10-01,1
CUST00155,35.0,,108551.31,Education,,42,11.13,2023-06-03,1
CUST00156,30.0,727189.44,175654.28,Car,646.0,54,54.84,2026-01-24,1
CUST00157,36.0,491065.57,91137.16,Other,713.0,47,11.0,2016-05-01,1
CUST00158,59.0,647306.56,158685.35,Education,,43,50.29,2022-01-05,1
CUST00159,53.0,382974.47,89024.59,Business,534.0,36,11.46,2023-11-19,0
CUST00160,42.0,440566.28,128108.84,Car,696.0,34,48.29,2017-08-30,0
CUST00161,38.0,317803.26,40064.08,Business,585.0,61,76.29,2017-07-05,1
CUST00162,47.0,695253.96,20272.76,Home,544.0,47,76.49,2016-01-24,1
CUST00163,50.0,312791.88,123813.06,Home,568.0,57,65.5,2026-05-01,0
CUST00164,29.0,929663.69,127862.39,Home,673.0,43,26.24,2024-12-15,0
CUST00165,37.0,377785.9,131308.05,Home,642.0,26,15.79,2016-05-22,1
CUST00166,18.0,446973.36,72044.59,Other,479.0,52,23.14,2017-10-25,1
CUST00167,50.0,646522.97,241308.95,Business,619.0,61,52.04,2020-04-07,1
CUST00168,61.0,447723.98,74912.3,Education,744.0,47,40.08,2025-04-08,1
CUST00169,39.0,381187.19,127074.32,Education,614.0,47,103.5,2024-06-28,1
CUST00170,18.0,435821.61,141037.59,Education,637.0,46,17.12,2025-02-04,1
CUST00171,45.0,691701.08,276853.59,Education,733.0,53,79.79,2024-07-09,1
CUST00172,28.0,317608.22,81616.13,Business,714.0,44,24.58,2022-03-20,0
CUST00173,31.0,415351.94,66708.27,Education,732.0,41,10.96,2018-05-06,1
CUST00174,45.0,5086104.75,40179.52,Business,428.0,64,32.5,2021-12-10,0
CUST00175,41.0,681664.31,250551.61,Home,789.0,39,39.36,2020-09-05,0
CUST00176,33.0,420869.17,127114.88,Other,,33,61.46,2025-12-05,0
CUST00177,31.0,1092686.11,129551.88,Home,847.0,32,17.06,2020-02-26,0
CUST00178,39.0,409106.47,640511.62,Car,587.0,44,32.49,2023-09-09,1
CUST00179,33.0,392840.2,119973.58,Business,509.0,42,26.59,2016-12-29,1
CUST00180,,406152.48,45188.92,Home,651.0,47,19.87,2022-11-08,1
CUST00181,,229046.26,87768.49,Home,628.0,44,74.4,2020-03-20,1
CUST00182,42.0,263454.66,55002.32,Car,702.0,42,39.76,2020-01-04,0
CUST00183,36.0,339309.03,77845.31,Car,950.0,46,2.54,2023-09-04,0
CUST00184,22.0,4864000.33,77532.02,Other,643.0,58,32.88,2020-07-24,1
CUST00185,,,69409.94,Business,631.0,36,5.78,2015-09-05,1
CUST00186,18.0,347207.51,42788.75,Car,692.0,37,30.52,2019-06-21,0
CUST00187,33.0,816896.25,256658.32,Other,629.0,40,6.88,2026-01-26,1
CUST00188,31.0,960864.39,118102.58,Education,623.0,48,39.9,2025-11-16,0
CUST00189,40.0,828764.43,86225.12,Business,733.0,57,5.69,2022-01-23,0
CUST00190,44.0,288789.98,155528.25,Home,751.0,37,11.53,2022-05-02,0
CUST00191,50.0,345371.42,130959.1,Car,737.0,40,46.41,2018-01-08,0
CUST00192,30.0,1095660.61,116472.96,Home,637.0,55,26.24,2023-12-20,0
CUST00193,44.0,499104.04,148895.33,Home,479.0,46,7.55,2021-11-21,1
CUST00194,40.0,387002.51,106976.11,Business,638.0,49,71.29,2015-06-06,1
CUST00195,19.0,633600.55,147581.06,Home,589.0,30,18.93,2025-11-29,1
CUST00196,59.0,732083.26,155106.52,Education,640.0,46,21.57,2024-10-18,0
CUST00197,22.0,332460.13,108839.68,Business,596.0,42,23.14,2015-12-09,0
CUST00198,43.0,493718.1,86488.2,Home,648.0,49,42.24,2019-10-20,1
CUST00199,42.0,703118.02,247270.63,Car,567.0,44,20.13,2023-07-15,0
CUST00200,41.0,247670.97,74106.54,Business,548.0,50,23.86,2023-06-22,1
CUST00201,33.0,445152.74,124840.0,Business,748.0,48,57.44,2016-12-03,0
CUST00202,47.0,253420.43,126543.96,Home,572.0,38,52.64,2015-06-18,1
CUST00203,21.0,270549.34,68477.83,Other,650.0,36,22.73,2026-04-26,0
CUST00204,37.0,333850.97,60797.66,Business,726.0,55,23.35,2025-04-10,0
CUST00205,32.0,561608.22,79832.73,Business,723.0,57,1.41,2023-06-27,0
CUST00206,31.0,376618.75,73472.75,Car,714.0,41,30.12,2022-08-02,0
CUST00207,43.0,319908.71,41155.86,Business,674.0,43,47.64,2022-11-21,0
CUST00208,50.0,453965.86,66776.26,Business,708.0,42,19.28,2020-04-04,1
CUST00209,,249326.52,115813.2,Car,760.0,34,64.27,2022-11-13,0
CUST00210,47.0,548203.37,210990.03,Other,684.0,34,5.01,2018-06-28,0
CUST00211,39.0,778943.18,137672.75,Other,503.0,53,12.26,2015-12-18,1
CUST00212,28.0,425235.32,20749.54,Car,608.0,43,60.87,2018-07-29,1
CUST00213,35.0,399782.33,145042.52,Business,706.0,57,46.34,2018-05-18,1
CUST00214,35.0,533236.42,70622.84,Education,600.0,43,4.67,2018-06-27,1
CUST00215,30.0,160454.44,129553.35,Business,,39,5.75,2020-05-31,1
CUST00216,43.0,,650146.58,Business,645.0,35,40.34,2016-07-04,0
CUST00217,,2086383.83,87938.01,Home,657.0,43,34.57,2019-09-08,1
CUST00218,21.0,416092.09,92842.39,Home,740.0,42,21.28,2020-05-01,1
CUST00219,20.0,416831.56,97396.49,Car,635.0,37,62.78,2017-02-28,1
CUST00220,43.0,641653.36,221160.28,Other,664.0,42,15.09,2020-03-18,1
CUST00221,29.0,1007181.44,97558.15,Car,722.0,39,2.73,2022-10-01,0
CUST00222,41.0,,189344.18,Business,532.0,36,42.23,2019-09-26,1
CUST00223,47.0,150571.99,173501.85,Car,627.0,47,49.0,2015-01-11,1
CUST00224,24.0,586365.98,147300.11,Home,716.0,49,15.85,2023-01-30,1
CUST00225,22.0,1600721.58,33793.67,Other,655.0,47,9.32,2021-08-25,1
CUST00226,56.0,603934.2,192910.11,Education,767.0,33,2.91,2019-10-29,0
CUST00227,42.0,248376.01,75001.19,Car,524.0,50,25.86,2015-04-06,0
CUST00228,33.0,509362.29,151666.05,Home,515.0,40,33.33,2016-01-09,1
CUST00229,28.0,233201.08,55076.6,Home,712.0,46,51.49,2015-11-30,0
CUST00230,32.0,819460.8,48482.37,Home,719.0,48,34.83,2024-10-16,0
CUST00231,25.0,274322.23,323137.51,Car,635.0,48,16.93,2018-07-20,0
CUST00232,48.0,459145.22,55592.87,Education,682.0,51,30.12,2019-11-20,0
CUST00233,,288113.56,196351.95,Car,710.0,36,53.29,2022-12-31,1
CUST00234,50.0,336642.22,105984.93,Home,585.0,41,33.01,2022-07-13,1
CUST00235,,930125.98,76720.79,Home,593.0,41,48.08,2015-09-28,1
CUST00236,27.0,465901.06,96095.97,Car,665.0,37,9.76,2025-09-08,1
CUST00237,33.0,334502.21,45222.2,Other,722.0,43,41.09,2018-01-17,1
CUST00238,18.0,249542.87,97904.46,Car,,44,34.87,2023-10-27,1
CUST00239,37.0,173537.55,51552.49,Home,634.0,51,19.97,2024-07-25,0
CUST00240,36.0,236655.24,77865.15,Education,630.0,53,53.97,2021-03-11,1
CUST00241,47.0,467885.84,171987.96,Other,683.0,45,90.44,2016-11-11,0
CUST00242,18.0,722242.97,114980.11,Business,649.0,41,4.49,2021-04-07,1
CUST00243,51.0,334310.09,40566.49,Business,606.0,51,20.77,2017-10-23,0
CUST00244,47.0,970213.86,164537.35,Other,750.0,54,24.45,2024-10-06,0
CUST00245,52.0,309047.35,98296.15,Education,607.0,40,25.88,2023-09-03,0
CUST00246,37.0,392775.76,71302.65,Other,627.0,44,15.4,2024-06-19,1
CUST00247,,257870.2,154508.72,Home,523.0,45,5.52,2024-07-09,1
CUST00248,22.0,726054.87,89292.78,Business,593.0,47,21.64,2017-01-19,1
CUST00249,46.0,1262690.48,49050.38,Business,691.0,51,24.6,2015-05-08,1
CUST00250,30.0,183338.88,299145.64,Other,676.0,47,20.18,2022-03-15,1
CUST00251,20.0,372100.39,97697.14,Car,698.0,48,25.05,2022-01-21,1
CUST00252,26.0,832667.7,94011.17,Business,694.0,46,30.65,2024-12-13,1
CUST00253,38.0,214599.17,77415.08,Home,817.0,47,22.29,2022-05-01,0
CUST00254,29.0,587329.9,200381.72,Education,590.0,34,15.25,2024-03-26,1
CUST00255,42.0,814831.07,72046.92,Car,520.0,41,25.16,2019-01-03,1
CUST00256,18.0,460061.02,39066.17,Education,566.0,38,32.41,2016-06-07,1
CUST00257,18.0,582527.42,65696.01,Business,594.0,39,26.88,2015-06-09,1
CUST00258,53.0,1067095.67,218833.13,Car,572.0,39,94.45,2020-01-04,1
CUST00259,48.0,1171989.48,162637.54,Home,,47,34.11,2015-01-09,1
CUST00260,26.0,428916.01,84710.14,Car,750.0,56,25.98,2020-12-15,1
CUST00261,38.0,339018.88,225021.92,Business,773.0,47,13.41,2019-08-10,0
CUST00262,49.0,279291.12,154626.12,Business,690.0,32,13.69,2017-12-18,1
CUST00263,43.0,721063.2,84123.93,Business,821.0,45,20.22,2021-10-17,0
CUST00264,40.0,222818.37,89362.29,Home,621.0,34,20.72,2022-10-23,1
CUST00265,50.0,4464664.86,120281.56,Business,519.0,41,20.1,2015-06-16,1
CUST00266,30.0,465722.33,59926.12,Business,734.0,43,35.18,2020-06-22,1
CUST00267,38.0,344035.02,98982.96,Home,503.0,47,52.78,2025-10-19,1
CUST00268,38.0,508850.8,118789.47,Car,590.0,37,42.33,2018-06-02,1
CUST00269,35.0,1594796.44,35875.87,Car,692.0,45,38.93,2023-12-23,1
CUST00270,34.0,416316.35,88115.86,Car,642.0,50,12.14,2018-11-15,0
CUST00271,39.0,355861.61,82303.28,Home,635.0,48,58.18,2018-02-14,0
CUST00272,38.0,735029.5,182926.7,Home,,39,13.16,2024-11-05,1
CUST00273,26.0,498715.87,32640.26,Home,649.0,45,31.83,2019-02-05,1
CUST00274,47.0,908606.95,78519.04,Home,,48,37.27,2024-12-15,1
CUST00275,27.0,480385.32,73935.41,Home,652.0,35,59.34,2022-07-11,1
CUST00276,36.0,390736.38,175613.81,Business,584.0,51,83.36,2024-05-03,1
CUST00277,35.0,181341.55,96169.93,Education,550.0,44,19.55,2024-05-13,1
CUST00278,42.0,196837.28,290005.97,Car,585.0,51,29.92,2025-07-03,1
CUST00279,18.0,176689.75,146873.66,Business,681.0,50,55.72,2021-05-18,1
CUST00280,,534811.48,77177.73,Education,677.0,48,88.11,2025-12-11,1
CUST00281,31.0,223882.19,113981.93,Home,586.0,36,21.26,2015-09-08,1
CUST00282,51.0,828845.2,79822.34,Home,473.0,38,12.69,2020-08-26,1
CUST00283,33.0,449154.98,165319.9,Home,250.0,45,7.53,2019-07-23,1
CUST00284,37.0,391564.89,44386.09,Education,578.0,46,4.74,2016-02-10,1
CUST00285,59.0,290126.54,60221.36,Car,705.0,39,14.61,2025-01-14,0
CUST00286,35.0,603879.15,129756.38,Car,590.0,42,48.42,2024-03-12,1
CUST00287,52.0,295892.38,205963.42,Education,571.0,52,50.38,2023-08-09,0
CUST00288,38.0,270306.29,26339.34,Other,662.0,42,34.1,2022-04-13,0
CUST00289,43.0,801447.67,225186.16,Car,839.0,43,20.52,2021-12-01,0
CUST00290,39.0,528242.42,90755.01,Education,710.0,47,35.26,2019-05-17,0
CUST00291,47.0,393381.55,31878.12,Car,661.0,50,27.2,2022-11-08,0
CUST00292,30.0,609696.45,16300.7,Business,679.0,49,21.3,2026-03-19,1
CUST00293,27.0,444393.6,39433.4,Business,510.0,39,32.98,2017-11-20,1
CUST00294,31.0,535794.82,97555.54,Business,560.0,37,19.82,2018-11-22,0
CUST00295,39.0,294070.86,94888.82,Home,449.0,50,32.86,2016-04-03,1
CUST00296,36.0,1245688.95,144339.04,Car,788.0,41,36.68,2025-06-07,0
CUST00297,46.0,331104.73,70990.95,Business,,48,43.19,2021-02-03,1
CUST00298,,963192.11,50775.83,Car,681.0,48,5.76,2021-10-23,1
CUST00299,27.0,402546.37,77045.25,Other,661.0,37,58.72,2018-01-23,0
CUST00300,30.0,662349.44,100726.7,Car,950.0,41,24.58,2015-06-03,0
CUST00301,22.0,638649.93,113375.85,Car,632.0,55,83.98,2024-04-01,1
CUST00302,60.0,784989.7,61482.09,Car,793.0,47,48.65,2024-11-20,0
CUST00303,41.0,,169544.04,Car,661.0,44,13.02,2018-12-02,0
CUST00304,43.0,757529.46,67993.13,Business,605.0,34,39.38,2023-10-05,1
CUST00305,23.0,1113724.01,58581.23,Home,509.0,42,55.86,2021-07-29,1
CUST00306,,388735.14,71293.83,Education,760.0,48,22.13,2022-05-21,0
CUST00307,44.0,450157.6,188132.94,Education,644.0,51,12.18,2016-12-26,0
CUST00308,35.0,340536.19,91155.5,Business,509.0,35,10.44,2022-01-24,1
CUST00309,50.0,372049.38,65074.75,Education,576.0,44,7.31,2016-11-07,0
CUST00310,63.0,,172071.38,Other,548.0,46,3.13,2017-07-07,1
CUST00311,,267769.75,357056.43,Business,639.0,60,24.95,2019-02-06,1
CUST00312,,276216.59,111950.22,Car,667.0,46,10.94,2017-06-19,1
CUST00313,28.0,989990.34,206965.1,Business,610.0,36,15.87,2025-06-13,1
CUST00314,56.0,604570.89,183807.96,Other,712.0,58,85.29,2015-05-03,0
CUST00315,49.0,1277205.6,68639.0,Home,656.0,43,36.8,2025-05-23,0
CUST00316,37.0,353196.8,100305.97,Education,735.0,39,12.68,2016-10-09,1
CUST00317,,471248.37,45728.33,Home,621.0,56,111.59,2025-01-01,1
CUST00318,29.0,317953.85,87293.79,Education,894.0,50,32.67,2018-11-13,0
CUST00319,48.0,475275.82,67797.85,Home,605.0,51,105.25,2025-08-02,0
CUST00320,34.0,182216.65,620247.07,Business,578.0,38,72.14,2021-03-19,0
CUST00321,35.0,623109.33,62947.92,Car,568.0,44,33.5,2020-08-17,1
CUST00322,45.0,520079.54,83095.17,Education,633.0,47,24.8,2016-07-03,0
CUST00323,36.0,429863.36,135854.48,Home,512.0,38,47.97,2019-12-25,0
CUST00324,35.0,363966.77,91886.08,Business,674.0,42,31.45,2021-05-29,0
CUST00325,38.0,282836.14,32253.31,Car,498.0,46,18.52,2026-04-21,1
CUST00326,47.0,636574.32,63090.64,Education,663.0,38,17.6,2018-01-10,1
CUST00327,56.0,246336.81,39670.39,Car,542.0,56,53.32,2015-12-14,0
CUST00328,44.0,571458.96,114283.35,Home,619.0,48,12.65,2017-12-02,0
CUST00329,47.0,1248215.76,133517.85,Car,698.0,46,52.81,2017-10-17,0
CUST00330,36.0,929833.43,115142.86,Other,834.0,54,27.75,2025-11-23,1
CUST00331,30.0,208446.15,61547.06,Home,564.0,50,6.02,2016-09-22,0
CUST00332,,338280.59,114475.07,Business,,37,55.72,2026-05-28,1
CUST00333,,546191.74,74453.6,Home,592.0,46,12.95,2016-04-19,0
CUST00334,22.0,427136.55,49864.51,Business,580.0,60,14.52,2024-04-29,0
