customer_id,age,gender,income,region,education,satisfaction_level,signup_date
CUST0110,41.0,Male,42572.81,West,Bachelors,Low,2023-07-29
CUST0111,28.0,Male,66091.88,East,,,2021-10-20
CUST0112,68.0,Female,43652.57,East,Bachelors,Very High,2022-06-27
CUST0113,34.0,Male,38525.66,North,High School,,2021-10-13
CUST0114,25.0,Male,59429.87,North,High School,High,2022-05-21
C0115X,52.0,Female,73932.1,West,High School,,2024-02-24
CUST0116,52.0,Female,404379.04,West,Masters,Medium,2024-01-09
CUST0117,50.0,Male,53821.41,North,,Medium,2022-06-23
CUST0118,22.0,Male,69533.51,North,Bachelors,,2024-04-12
CUST0119,59.0,Male,70129.49,South,PhD,Medium,2023-05-28
CUST-0120A,150.0,Male,54307.15,South,High School,Very High,2024-04-10
CUST0121,58.0,Female,47017.36,North,Bachelors,Medium,2023-03-29
CUST0122,45.0,Male,56487.81,South,Masters,Very High,2023-01-12
CUST0123,24.0,Male,51563.59,Central,PhD,Low,2022-03-26
CUST0124,26.0,Male,60633.53,West,Masters,Very High,2021-10-11
CUST0125,25.0,Female,33503.13,West,Masters,Medium,2023-11-10
CUST0126,29.0,Female,59989.27,North,Masters,Low,2023-10-08
CUST0127,51.0,Female,42070.54,East,Bachelors,Low,2021-07-06
CUST0128,50.0,Male,71305.98,North,Masters,,2021-04-07
CUST0129,65.0,Female,42895.58,South,High School,High,2021-08-13
CUST0130,40.0,Female,43208.02,East,PhD,High,2021-11-10
CUST0131,41.0,,,South,Bachelors,Low,2024-07-09
CUST0132,54.0,Male,,,Bachelors,Low,2021-11-24
CUST0133,52.0,Male,95979.73,South,,High,2024-10-25
CUST0134,61.0,Male,25672.55,Central,Masters,Medium,2023-05-15
CUST-0135A,57.0,Male,56977.35,Central,High School,Medium,2024-05-06
CUST0136,39.0,Male,75333.69,South,Masters,Very High,2021-05-11
CUST0137,44.0,Male,44590.35,South,Masters,Very High,2023-02-28
C0138X,52.0,Female,38609.96,Central,High School,Very High,2023-02-21
CUST0139,18.0,,39324.44,East,,High,2024-05-05
CUST0140,52.0,,25984.7,Central,Masters,Medium,2023-08-17
CUST0141,54.0,Female,79294.68,West,,Medium,2023-12-20
CUST0142,64.0,Female,49066.89,Central,Bachelors,High,2022-05-30
CUST0143,31.0,,46935.51,East,,High,2024-02-08
CUST0144,20.0,Male,16766.23,West,,Low,2021-01-24
CUST0145,18.0,Female,29193.25,North,Bachelors,Medium,2024-10-25
CUST0146,22.0,Male,81377.02,North,PhD,Low,2021-08-23
CUST0147,43.0,Male,60455.9,East,High School,High,2024-10-28
CUST0148,31.0,Female,75997.01,Central,Masters,Very High,2024-01-05
CUST0149,56.0,Male,73719.86,South,,High,2022-07-01
CUST-0150A,44.0,Male,36988.83,East,Bachelors,Medium,2024-08-05
CUST0151,26.0,Female,98737.26,West,Masters,Very High,2022-11-28
CUST0152,32.0,Female,90095.19,West,Masters,High,2021-08-17
CUST0153,,Female,44852.2,North,Bachelors,Low,2022-08-25
CUST0154,43.0,Male,,West,Bachelors,Medium,2023-06-10
CUST0155,59.0,Female,242912.09999999998,East,Bachelors,Medium,2021-11-20
CUST0156,30.0,Male,59289.33,West,,Low,2023-07-19
CUST0157,68.0,Female,44781.06,,High School,Very High,2021-01-07
CUST0158,-5.0,Female,51012.6,South,Bachelors,Medium,2022-06-24
CUST0159,56.0,Female,40084.16,North,,Very High,2023-10-23
CUST0160,66.0,Female,71589.42,West,Masters,Medium,2022-01-01
C0161X,69.0,Male,56145.4,East,Bachelors,Low,2023-11-06
CUST0162,49.0,Female,72127.25,Central,Bachelors,Medium,2021-08-06
CUST0163,21.0,Female,76999.66,North,Bachelors,,2024-07-04
CUST0164,47.0,Male,15862.18,South,,Medium,2022-09-04
CUST-0165A,,,41130.6,East,Masters,Very High,2024-08-01
CUST0166,40.0,Male,43767.47,South,Bachelors,High,2023-11-06
CUST0167,56.0,Female,,South,Masters,High,2024-06-01
CUST0168,62.0,Female,57682.1,West,High School,Medium,2022-02-12
CUST0169,,Female,69626.09,West,Bachelors,Low,2021-11-10
CUST0170,60.0,Male,21147.55,East,,Low,2023-02-05
CUST0171,46.0,Female,57577.88,Central,Bachelors,High,2021-11-27
CUST0172,53.0,Female,72609.27,East,Masters,Low,2024-01-10
CUST0173,30.0,Female,70515.37,Central,Masters,Medium,2023-12-23
CUST0174,49.0,Male,,South,High School,High,2021-01-02
CUST0175,24.0,Male,55234.01,North,Bachelors,Medium,2024-05-11
CUST0176,68.0,Female,56108.24,East,Bachelors,,2022-10-26
CUST0177,39.0,Male,,East,High School,Medium,2023-09-28
CUST0178,45.0,Female,38790.41,Central,High School,Very High,2021-02-09
CUST0179,19.0,Female,59156.99,South,Bachelors,High,2021-08-18
CUST-0180A,59.0,Female,42112.44,South,High School,Medium,2023-01-14
CUST0181,62.0,Female,67399.09,Central,High School,Low,2022-09-22
CUST0182,23.0,Female,63402.09,South,High School,Very High,2022-05-06
CUST0183,45.0,Male,79612.66,West,Bachelors,High,2021-04-29
C0184X,45.0,Male,72248.57,North,Masters,Medium,2022-05-09
CUST0185,61.0,Male,59090.71,East,Bachelors,Very High,2024-03-07
CUST0186,61.0,Male,68463.65,,PhD,Medium,2021-06-11
CUST0187,37.0,Female,73091.84,East,Bachelors,High,2021-06-25
CUST0188,47.0,Female,45866.13,West,Masters,High,2023-09-23
CUST0189,28.0,Female,49072.04,South,Masters,Medium,2021-05-22
CUST0190,45.0,Female,53257.13,Central,Bachelors,Very High,2023-12-27
CUST0191,42.0,Other,46440.45,West,Bachelors,High,2021-09-15
CUST0192,56.0,Female,73282.37,North,Masters,High,2021-09-20
CUST0193,50.0,Female,43708.41,Central,High School,Medium,2024-09-13
CUST0194,18.0,Female,77529.73,South,Bachelors,Low,2023-09-01
CUST-0195A,44.0,Male,48394.48,West,Bachelors,Medium,2024-01-31
CUST0196,69.0,Male,63503.14,Central,Bachelors,High,2021-12-05
CUST0197,,Male,57995.47,West,High School,Medium,2022-06-27
CUST0198,58.0,Female,37432.36,West,PhD,High,2023-12-17
CUST0199,20.0,Female,54641.98,South,Bachelors,High,2024-05-27
CUST0200,56.0,Male,61005.58,East,Bachelors,Low,2023-05-17
CUST0201,23.0,Male,53842.73,Central,PhD,,2022-03-10
CUST0202,25.0,Female,30831.28,South,Bachelors,Low,2024-01-10
CUST0203,44.0,Male,,West,PhD,Very High,2022-02-16
CUST0204,26.0,Male,56578.59,South,Bachelors,Medium,2022-10-01
CUST0205,54.0,Female,40702.55,East,High School,Medium,2023-03-29
CUST0206,50.0,Male,84173.82,Central,Masters,Medium,2024-10-07
C0207X,68.0,Male,66113.02,,Bachelors,Medium,2024-08-23
CUST0208,59.0,Female,33396.94,North,,High,2023-02-04
CUST0209,,Female,36199.09,Central,PhD,High,2023-06-17
CUST-0210A,41.0,Female,50996.9,East,Masters,High,2023-11-26
CUST0211,32.0,,60351.53,West,Bachelors,Low,2023-07-14
CUST0212,49.0,Male,66210.4,Central,Masters,Medium,2021-09-05
CUST0213,49.0,Male,72103.21,Central,Bachelors,Low,2022-05-23
CUST0214,41.0,Female,64712.3,South,Bachelors,High,2022-04-06
CUST0215,58.0,Female,79241.43,West,Masters,Very High,2021-05-12
CUST0216,69.0,Male,57282.28,North,High School,Medium,2022-11-24
CUST0217,66.0,Female,,East,Masters,Medium,2021-02-13
CUST0218,66.0,Male,54939.68,South,Masters,High,2024-04-19
CUST0219,69.0,Male,53758.35,East,Masters,High,2024-02-09
CUST0220,29.0,Male,12000.0,North,Bachelors,High,2022-04-17
CUST0221,56.0,Male,44895.4,North,Masters,Very High,2024-04-20
CUST0222,19.0,Female,60655.67,Central,Bachelors,Medium,2022-03-28
CUST0223,20.0,Female,47364.12,North,Masters,Medium,2021-01-15
CUST0224,66.0,Male,43368.23,East,High School,,2021-05-26
CUST-0225A,,Female,71404.77,West,High School,High,2024-07-16
CUST0226,66.0,Male,38502.18,West,High School,Medium,2021-05-01
CUST0227,34.0,Female,67809.21,Central,Bachelors,High,2022-04-14
CUST0228,66.0,Female,31010.6,East,Bachelors,High,2021-05-19
CUST0229,19.0,Male,104693.71,East,Masters,High,2021-03-06
C0230X,,Female,,,Bachelors,High,2022-11-08
CUST0231,45.0,Male,49181.22,East,Bachelors,Medium,2021-05-26
CUST0232,40.0,Male,75575.19,South,High School,High,2023-11-19
CUST0233,54.0,Male,47463.31,North,Bachelors,High,2022-05-03
CUST0234,49.0,Female,81188.7,South,Bachelors,High,2022-07-25
CUST0235,50.0,Female,61688.69,Central,High School,High,2024-10-02
CUST0236,18.0,Male,,West,High School,High,2023-09-22
CUST0237,36.0,Female,50949.89,Central,High School,Low,2022-03-15
CUST0238,19.0,Female,76736.66,West,High School,High,2024-01-10
CUST0239,61.0,Female,59148.77,Central,Bachelors,High,2021-09-28
CUST-0240A,43.0,Female,62781.56,East,High School,High,2024-03-15
CUST0241,,Female,64738.03,South,Masters,High,2024-03-26
CUST0242,,Male,57392.85,West,Masters,High,2023-08-27
CUST0243,49.0,Male,64357.7,North,Bachelors,Medium,2022-05-13
CUST0244,21.0,Other,,South,PhD,High,2023-08-27
CUST0245,,Male,54103.44,North,Bachelors,Low,2023-04-14
CUST0246,34.0,Other,34855.93,South,Bachelors,Medium,2022-01-25
CUST0247,55.0,Female,60359.68,South,PhD,High,2021-07-13
CUST0248,41.0,Male,24048.26,Central,High School,High,2021-07-18
CUST0249,22.0,Male,60104.05,West,PhD,Medium,2024-09-11
CUST0250,69.0,Male,49948.91,West,High School,Low,2023-06-02
CUST0251,51.0,Female,61742.53,South,Bachelors,High,2022-12-27
CUST0252,23.0,Male,36121.09,East,High School,Low,2023-05-18
C0253X,39.0,Male,16851.57,East,Masters,Medium,2023-04-22
CUST0254,28.0,Male,48684.42,North,Bachelors,Low,2023-08-15
CUST-0255A,65.0,Male,36173.57,North,Masters,Medium,2021-04-21
CUST0256,33.0,Female,22949.98,Central,Bachelors,Medium,2024-10-11
CUST0257,,Male,68823.7,South,Bachelors,Medium,2024-08-31
CUST0258,26.0,Female,83822.29,North,High School,Medium,2024-08-16
CUST0259,23.0,Male,,North,Bachelors,Very High,2021-07-21
CUST0260,33.0,Male,53636.13,South,PhD,High,2021-05-05
CUST0261,46.0,Male,49459.86,Central,Bachelors,High,2023-04-05
CUST0262,20.0,Male,43139.83,North,Masters,Low,2022-11-26
CUST0263,,Other,66947.27,Central,Masters,Medium,2021-08-12
CUST0264,53.0,Female,73182.55,West,Bachelors,High,2022-05-25
CUST0265,36.0,Male,,Central,Bachelors,Low,2022-01-28
CUST0266,43.0,Female,55805.8,East,High School,Medium,2022-01-25
CUST0267,20.0,Male,78121.59,East,High School,High,2024-01-04
CUST0268,36.0,Male,67402.65,Central,High School,High,2023-07-08
CUST0269,37.0,Other,70078.55,East,Bachelors,Low,2021-10-15
CUST-0270A,49.0,Female,79623.74,West,Bachelors,Medium,2023-05-15
CUST0271,24.0,Other,79387.21,South,Bachelors,High,2022-01-11
CUST0272,69.0,Male,73515.57,East,Bachelors,Low,2022-07-25
CUST0273,58.0,,57608.87,East,Bachelors,High,2023-08-06
CUST0274,,Male,48115.31,Central,Bachelors,High,2022-05-27
CUST0275,57.0,Male,56862.6,West,Masters,Very High,2021-06-04
C0276X,56.0,Female,45380.68,South,High School,Medium,2023-06-27
CUST0277,35.0,Male,19855.24,Central,High School,High,2024-02-02
CUST0278,57.0,Female,49969.02,Central,Masters,High,2021-07-20
CUST0279,18.0,Female,61435.47,West,Bachelors,Medium,2021-04-14
CUST0280,28.0,Male,44429.15,South,Bachelors,Low,2024-08-28
CUST0281,45.0,Female,51529.96,,Bachelors,High,2024-01-13
CUST0282,,Female,52227.34,South,Bachelors,Medium,2021-01-31
CUST0283,67.0,Male,79423.42,West,High School,Medium,2021-07-11
CUST0284,40.0,Female,48530.13,Central,High School,Low,2022-04-30
CUST-0285A,48.0,Female,79419.4,Central,Bachelors,High,2021-12-07
CUST0286,47.0,Male,12000.0,North,Bachelors,High,2023-04-13
CUST0287,59.0,Female,79261.4,East,Masters,High,2023-09-22
CUST0288,52.0,Other,78353.31,West,Masters,Medium,2023-09-13
CUST0289,,Male,71240.58,North,Bachelors,Medium,2022-03-14
CUST0290,33.0,Female,18785.48,East,Masters,High,2023-04-02
CUST0291,43.0,Male,73339.97,,Bachelors,Medium,2021-05-01
CUST0292,,Female,54097.85,South,Bachelors,Medium,2021-12-04
CUST0293,69.0,Female,12000.0,East,Masters,High,2023-02-16
CUST0294,66.0,Male,78367.2,Central,Bachelors,Very High,2021-01-05
CUST0295,19.0,Male,80995.12,North,Bachelors,High,2023-03-11
CUST0296,18.0,Female,20718.78,East,High School,High,2022-06-28
CUST0297,65.0,Male,581575.8,East,Bachelors,Very High,2023-07-21
CUST0298,29.0,Female,79994.64,Central,Masters,Medium,2022-08-08
C0299X,22.0,Male,,West,Masters,High,2023-05-17
CUST-0300A,54.0,Female,70049.1,South,Masters,Very High,2024-02-13
CUST0301,49.0,Female,12000.0,Central,Masters,Medium,2024-09-17
CUST0302,26.0,Female,68131.77,South,Bachelors,High,2023-09-24
CUST0303,58.0,Male,51074.13,West,Bachelors,High,2021-11-14
CUST0304,52.0,Female,72925.44,East,High School,High,2022-01-24
CUST0305,36.0,Female,,South,Bachelors,High,2022-08-31
CUST0306,65.0,Male,54642.13,North,Bachelors,Very High,2022-03-22
CUST0307,33.0,Male,66536.27,North,PhD,High,2021-04-30
CUST0308,20.0,Male,51905.56,Central,Bachelors,Low,2024-04-01
CUST0309,,Female,54563.01,West,Bachelors,Very High,2024-01-16
CUST0310,41.0,Female,225029.85,Central,Bachelors,Medium,2021-05-05
CUST0311,50.0,Male,26102.64,Central,Bachelors,Medium,2022-10-05
CUST0312,41.0,Female,65221.36,Central,Masters,Medium,2021-04-28
CUST0313,69.0,Male,40491.45,North,High School,Medium,2021-04-13
CUST0314,28.0,Male,51385.75,North,Bachelors,Medium,2024-04-11
CUST-0315A,66.0,Other,60165.53,Central,Masters,Very High,2023-09-04
CUST0316,25.0,Female,17466.08,North,Bachelors,High,2023-10-27
CUST0317,53.0,Female,21495.72,West,High School,High,2023-12-24
CUST0318,55.0,Male,49604.71,Central,,Low,2021-11-19
CUST0319,57.0,Female,63182.14,North,Masters,,2021-04-27
CUST0320,37.0,Female,,South,High School,Very High,2023-11-07
CUST0321,52.0,Male,26356.34,Central,Masters,,2021-06-14
C0322X,65.0,Female,,Central,Masters,Low,2022-01-16
CUST0323,42.0,Female,50588.75,West,Bachelors,Low,2021-05-21
CUST0324,,Female,39103.17,East,PhD,Medium,2024-05-03
CUST0325,42.0,Male,43326.07,East,Masters,Low,2021-05-20
CUST0326,46.0,Female,69433.43,West,Masters,Medium,2024-10-14
CUST0327,35.0,Female,59932.1,West,Masters,Very High,2022-04-27
CUST0328,63.0,Male,55905.52,West,High School,Medium,2023-04-07
CUST0329,35.0,Female,59382.92,East,High School,Low,2021-09-03
CUST-0330A,,Female,71705.76,West,Bachelors,Medium,2024-03-12
CUST0331,52.0,,53252.21,North,High School,Low,2022-05-20
CUST0332,33.0,Male,55977.74,Central,Bachelors,Low,2024-03-31
CUST0333,58.0,Female,75487.07,Central,Masters,Medium,2024-05-02
CUST0334,53.0,Female,49031.44,South,Masters,Medium,2021-03-23
CUST0335,150.0,Female,66126.53,South,Bachelors,High,2024-06-22
CUST0336,21.0,Male,,Central,Masters,Very High,2021-06-17
CUST0337,50.0,Other,47514.39,North,Masters,Medium,2023-05-09
CUST0338,31.0,Male,53127.1,East,Bachelors,Medium,2024-09-08
CUST0339,38.0,Male,64274.91,East,High School,High,2024-04-10
CUST0340,65.0,Female,76495.28,North,Bachelors,Medium,2024-03-03
CUST0341,37.0,Male,56737.81,East,Masters,Medium,2023-12-07
CUST0342,25.0,Male,28002.94,West,Bachelors,Very High,2022-10-10
CUST0343,24.0,Male,66366.03,Central,Bachelors,Low,2022-06-19
CUST0344,20.0,Male,99169.16,Central,High School,High,2022-02-23
CUST-0345A,34.0,Male,56956.04,North,Masters,High,2024-10-03
CUST0346,50.0,Other,24242.18,East,Masters,Medium,2022-10-06
CUST0347,65.0,Male,58053.75,South,Masters,Medium,2022-05-04
CUST0348,29.0,Female,54945.77,South,PhD,High,2022-06-28
CUST0349,68.0,Female,53432.04,East,Masters,Low,2023-03-22
CUST0350,39.0,Female,72017.38,South,PhD,Medium,2021-09-26
CUST0351,39.0,Male,79808.95,North,PhD,High,2024-10-07
CUST0352,63.0,Female,,North,Masters,High,2024-08-14
CUST0353,47.0,,52604.95,East,Bachelors,Low,2022-09-07
CUST0354,55.0,Female,75262.22,South,High School,Very High,2023-07-26
CUST0355,55.0,Female,28111.07,North,Bachelors,,2022-10-10
CUST0356,62.0,Female,42110.99,North,Bachelors,High,2021-05-29
CUST0357,68.0,Male,,West,Bachelors,High,2021-01-20
CUST0358,25.0,Female,54442.89,West,Bachelors,High,2023-07-28
CUST0359,150.0,Female,64121.22,North,PhD,Medium,2024-06-26
CUST-0360A,44.0,Female,51387.17,East,Masters,Very High,2024-02-28
CUST0361,51.0,Other,38691.36,Central,Masters,Low,2021-07-24
CUST0362,,Male,72547.31,Central,Bachelors,High,2021-05-31
CUST0363,47.0,,50761.78,North,,Medium,2024-01-07
CUST0364,50.0,Male,56838.32,North,High School,Medium,2022-03-13
CUST0365,45.0,Male,64919.22,North,Bachelors,Medium,2023-11-03
CUST0366,64.0,Male,55699.8,East,High School,,2022-06-28
CUST0367,50.0,Male,55778.89,West,High School,Very High,2021-09-29
C0368X,22.0,Female,73548.52,North,PhD,Medium,2022-12-16
CUST0369,65.0,Male,,North,Masters,Low,2021-05-21
CUST0370,-5.0,Male,70530.35,South,Bachelors,High,2022-05-16
CUST0371,21.0,Female,64804.01,East,High School,Medium,2023-01-27
CUST0372,200.0,Female,91303.98,North,Bachelors,Low,2022-08-07
CUST0373,66.0,Female,62369.44,South,High School,High,2021-11-20
CUST0374,34.0,Female,66483.52,Central,PhD,High,2023-06-17
CUST-0375A,61.0,Female,74829.82,North,Bachelors,Very High,2024-01-18
CUST0376,45.0,Male,56145.12,North,Bachelors,Medium,2022-09-12
CUST0377,47.0,Male,43518.64,South,Bachelors,Medium,2024-06-06
CUST0378,46.0,Female,,East,High School,High,2024-09-01
CUST0379,63.0,Male,46638.88,North,Bachelors,High,2023-12-20
CUST0380,23.0,Female,37894.04,Central,Masters,High,2021-01-17
CUST0381,52.0,Male,60720.49,North,Bachelors,High,2024-09-29
CUST0382,58.0,Male,43668.7,Central,High School,Medium,2024-02-10
CUST0383,54.0,Female,58507.35,West,Bachelors,High,2022-09-06
CUST0384,41.0,Female,52143.86,West,Bachelors,Medium,2024-09-20
CUST0385,46.0,Female,54250.81,Central,Masters,Low,2021-08-01
CUST0386,66.0,Female,65009.02,East,Bachelors,High,2021-10-03
CUST0387,63.0,Male,,North,Bachelors,Medium,2022-06-26
CUST0388,48.0,Male,66500.04,North,Bachelors,Low,2021-08-25
CUST0389,52.0,Female,83211.54,West,Bachelors,Very High,2021-08-08
CUST-0390A,50.0,Female,61175.96,Central,Bachelors,Medium,2024-02-08
C0391X,69.0,Male,40922.28,North,Bachelors,High,2021-11-15
CUST0392,38.0,Female,43929.68,North,Bachelors,Medium,2022-07-12
CUST0393,49.0,Male,50531.27,East,Masters,High,2022-08-01
CUST0394,40.0,Male,44291.97,South,Bachelors,Low,2024-05-23
CUST0395,50.0,Male,,West,PhD,Medium,2022-03-08
CUST0396,20.0,Female,57779.33,West,Bachelors,Very High,2022-12-04
CUST0397,35.0,Female,51018.45,South,PhD,High,2022-02-21
CUST0398,42.0,Male,58414.98,North,Masters,Medium,2024-07-22
CUST0399,59.0,Female,76354.97,East,Bachelors,Medium,2022-06-25
CUST0400,48.0,Male,50745.65,East,Masters,Very High,2023-11-02
CUST0401,20.0,Male,33662.44,West,High School,High,2023-09-28
CUST0402,57.0,Male,47819.94,East,PhD,High,2022-05-30
CUST0403,63.0,Male,,South,Bachelors,High,2021-04-15
CUST0404,41.0,Male,67181.86,North,High School,Low,2021-07-09
CUST-0405A,67.0,Female,64335.51,South,Bachelors,Low,2024-07-23
CUST0406,49.0,Female,43755.28,Central,PhD,High,2023-05-18
CUST0407,64.0,Female,68534.25,West,,Medium,2022-07-21
